Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
,Switzerland,190.8,111.0,78.7,74.5,131.7,8.4,28.7,20.1,80.0
,Denmark,190.0,94.7,73.3,80.0,91.7,6.7,28.7,20.4,81.8
,Netherlands,183.3,83.9,72.8,75.8,78.6,7.4,27.8,25.3,87.1
,Finland,182.8,89.1,73.0,76.4,77.5,8.6,29.0,11.9,56.6
,Austria,182.4,78.2,74.8,78.4,75.5,10.4,25.7,19.2,77.8
,Australia,181.5,99.3,57.6,77.7,84.1,7.4,35.0,23.5,92.7
,Iceland,179.1,71.9,75.9,65.7,96.8,6.3,20.0,16.2,68.8
,Germany,176.8,93.7,64.6,73.8,70.6,9.1,31.4,27.5,83.0
,New Zealand,175.8,81.4,57.7,73.6,79.1,8.1,30.7,23.8,96.4
,Norway,173.6,79.4,66.6,75.5,106.1,8.5,26.9,18.1,68.7
,Estonia,173.6,61.2,76.6,72.8,56.5,9.1,24.7,19.0,64.3
,Oman,172.1,84.4,79.7,58.4,50.2,5.8,23.0,37.6,67.2
,Sweden,171.4,90.6,52.8,68.8,79.2,8.6,29.9,18.4,74.9
,Slovenia,168.2,56.1,78.2,65.3,59.4,10.9,26.8,22.7,77.6
,United States,167.0,102.6,52.3,69.0,71.9,4.0,32.9,38.9,77.3
,Spain,164.5,62.7,66.9,78.8,59.1,9.6,29.4,39.6,93.2
,Japan,162.3,76.5,78.0,80.7,87.8,13.0,39.9,39.4,85.3
,Portugal,161.9,45.0,70.1,71.9,52.9,12.7,29.6,29.6,97.7
,Lithuania,160.0,54.6,66.2,71.0,47.7,11.0,25.7,27.0,69.9
,Canada,160.0,82.8,58.8,71.8,70.1,7.5,33.7,28.1,56.7
,United Kingdom,159.0,82.6,54.7,74.9,71.0,9.6,34.4,40.2,88.0
,Czech Republic,156.3,56.4,74.7,75.4,49.2,15.5,29.7,36.3,77.1
,Croatia,156.1,43.1,75.1,64.2,56.4,14.2,28.1,30.6,89.7
,United Arab Emirates,156.0,85.7,84.6,68.0,61.7,4.9,36.3,50.4,45.2
,Qatar,154.6,93.1,87.7,73.0,64.2,6.0,30.5,60.2,36.0
,Belgium,150.9,76.5,55.8,75.2,78.5,6.9,36.2,50.3,86.0
,Ireland,150.9,73.8,55.0,52.8,83.1,7.4,37.7,33.6,89.1
,France,150.7,74.1,50.8,81.0,80.6,13.5,34.5,41.8,89.9
,Slovakia,149.7,50.4,70.3,60.9,49.1,11.1,27.8,39.1,78.1
,Latvia,147.6,45.9,62.8,62.2,52.9,8.5,31.2,33.9,74.7
,Saudi Arabia,147.4,88.2,74.1,60.7,49.9,2.6,28.4,64.1,46.0
,Israel,144.1,70.4,68.8,73.8,86.6,13.7,35.8,58.4,93.8
,Cyprus,144.1,52.3,68.0,52.7,64.0,7.1,23.4,56.8,93.3
,Singapore,143.8,83.6,67.0,70.9,85.6,19.4,41.2,33.2,57.5
,Taiwan,138.8,56.1,84.8,86.4,65.2,23.6,31.3,62.9,81.6
,Italy,138.6,58.7,55.6,66.8,73.1,9.5,34.2,53.9,91.5
,Hungary,134.0,49.8,65.2,51.6,42.7,11.6,35.8,47.8,79.5
,Poland,132.6,47.1,70.7,58.3,42.0,14.0,31.3,54.3,75.9
,South Africa,132.2,72.9,22.9,63.9,41.7,4.0,39.3,57.0,95.3
,Romania,131.7,45.2,71.7,56.1,38.5,10.7,34.1,58.4,77.7
,Puerto Rico,130.8,69.2,36.6,55.6,69.5,3.6,34.2,50.4,71.2
,South Korea,130.0,76.6,73.1,82.3,81.2,23.6,39.9,61.8,68.4
,Greece,129.9,38.9,55.9,57.0,61.0,10.1,33.9,51.9,94.2
,Bulgaria,126.3,40.3,61.9,56.1,40.9,9.0,29.4,64.5,82.8
,Turkey,126.0,35.3,60.5,70.7,31.5,8.2,44.6,66.2,93.3
,Bosnia And Herzegovina,125.7,42.6,57.0,53.5,38.6,10.7,25.9,60.7,80.5
,Uruguay,124.6,30.6,48.8,67.7,51.1,17.3,37.7,45.7,98.0
,Costa Rica,121.7,39.0,44.7,62.9,50.6,10.1,60.2,44.1,99.5
,Mexico,120.3,35.5,45.0,72.5,35.1,10.5,39.0,61.2,86.6
,Georgia,118.9,25.7,77.4,53.8,28.0,14.2,35.4,69.7,88.5
,Ecuador,118.8,30.5,45.6,68.8,40.1,12.6,39.6,58.3,94.5
,Malaysia,116.9,56.1,42.1,69.6,39.5,9.9,37.0,62.6,59.1
,Serbia,116.2,35.8,61.7,51.6,39.2,17.1,31.1,61.2,83.2
,Jordan,114.0,33.1,59.3,65.4,52.2,8.0,41.4,76.1,89.0
,Kuwait,114.0,75.3,66.0,59.0,49.4,13.2,33.7,66.7,20.2
,Argentina,110.5,34.6,36.7,68.6,37.9,22.7,43.2,50.7,98.3
,Panama,110.3,32.1,54.2,60.4,54.1,12.3,37.6,59.8,67.8
,North Macedonia,108.5,32.0,61.4,56.5,34.1,12.7,27.2,80.0,76.3
,Ukraine,107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8
,Belarus,107.3,32.0,39.7,44.4,30.7,16.8,30.1,44.5,64.4
,Pakistan,105.1,27.3,56.1,60.5,21.6,12.6,37.8,73.4,73.6
,Brazil,104.7,28.7,32.2,57.3,31.8,16.1,41.7,54.5,92.4
,India,104.5,47.1,55.3,66.2,25.2,11.3,46.7,79.6,65.3
,Morocco,104.4,32.2,50.9,45.8,36.9,13.5,36.3,70.4,90.0
,China,103.1,57.5,69.8,66.4,42.5,29.0,40.9,81.5,80.2
,Azerbaijan,102.9,25.8,68.3,44.0,30.9,16.6,39.4,75.4,91.4
,Russia,101.7,34.6,59.9,58.4,33.2,11.1,44.6,62.3,38.5
,Colombia,101.3,26.1,44.2,66.7,31.0,18.7,47.3,62.9,88.3
,Thailand,100.3,31.4,60.6,78.1,49.3,22.2,39.2,75.4,69.4
,Chile,99.9,33.3,47.9,63.7,49.3,17.6,35.6,79.0,90.2
,Hong Kong,99.3,62.4,78.3,66.3,79.9,45.2,42.3,67.3,83.6
,Kazakhstan,96.4,34.9,46.0,60.1,29.8,9.6,33.6,72.6,39.8
,Lebanon,94.5,29.5,53.0,63.3,75.9,14.1,39.1,89.3,94.7
,Indonesia,90.1,20.9,53.8,60.5,37.4,22.0,43.4,67.1,68.5
,Vietnam,88.4,27.3,53.9,58.3,38.0,20.6,29.6,85.9,71.1
,Egypt,86.3,20.0,53.2,46.2,30.1,13.6,49.1,84.3,92.0
,Peru,83.3,28.8,33.4,56.4,36.3,16.9,48.8,82.7,97.7
,Sri Lanka,79.8,20.8,58.8,72.6,31.3,35.0,57.2,59.9,59.1
,Philippines,78.4,19.7,57.8,67.1,40.7,30.1,44.0,74.1,61.0
,Kenya,75.8,27.7,38.6,55.8,36.3,27.3,57.4,75.9,99.8
,Bangladesh,65.3,24.1,35.8,42.7,33.3,14.4,58.5,84.9,72.9
,Iran,64.7,19.0,50.8,52.2,41.3,34.2,47.4,76.1,71.0
,Nigeria,52.0,9.8,36.1,48.9,29.7,17.7,61.7,87.3,60.8
